yr_file_name,panel_name
ANO.CHEGADA.BRASIL,yr_arrival
CAUSA.DESLI,separation_cause
CBO.94.OCUPACAO,cbo94
CBO.OCUPACAO.2002,cbo02
CEI.VINC,cei
CEI.VINCULADO,cei
CEP.ESTAB,zip_establishment
CLAS.CNAE.20,cnae20
CLAS.CNAE.95,cnae95
CNAE.2.0.CLASSE,cnae20
CNAE.2.0.SUBCLASSE,cnae20sub
CNAE.95.CLASSE,cnae95
CNPJ...CEI,firmID
CNPJ.RAIZ,cnpj_root
CPF,cpf
DATA.ADMISSAO.DECLARADA,adm_date
DATA.DE.NASCIMENTO,dob
DIA.DE.DESLIGAMENTO,termination_day
DIA.DESL,termination_day
DT.ADMISSAO,adm_date
DT.NASCIMENT,dob
EMP.EM.31.12,active1231
ESCOLARIDADE.APOS.2005,schooling
GENERO,sex
GR.INSTRUCAO,schooling
GRAU.INSTR,schooling
HORAS.CONTR,hired_hours
IBGE.SUBSETOR,ibge_subsetor
IDADE,age
IDENTIFICAD,firmID
IND.ALVARA,alvara_ind
IND.CEI.VINC,cei_avail
IND.CEI.VINCULADO,cei_avail
IND.ESTAB.PARTICIPA.PAT,pat
IND.PAT,pat
IND.PORTADOR.DEFIC,disabled
IND.SIMPLES,simples
IND.SINDICAL,union
IND.TRAB.INTERMITENTE,intermittent_contract
IND.TRAB.PARCIAL,partial_job
IND.VINCULO.ALVARA,alvara_ind
MES.DESLIG,termination_month
MES.DESLIGAMENTO,termination_month
MOTIVO.DESLIGAMENTO,separation_cause
MUN.TRAB,muni_job
MUNICIPIO,muni
NACIONALIDAD,nationality
NACIONALIDADE,nationality
NAT.JURIDICA,legal_form
NATUR.JUR,legal_form
NATUREZA.JURIDICA,legal_form
NUM.CTPS,ctps
NUME.CTPS,ctps
NUMERO.CTPS,ctps
OCUP.2002,cbo02
OCUPACAO,cbo94
OCUPACAO.94,cbo94
PIS,pis
PORT.DEFIC,disabled
QTD.HORA.CONTR,hired_hours
RACA_COR,race_color
RACA.COR,race_color
RADIC.CNPJ,cnpj_root
RAZAO.SOCIAL,estab_name
REM.DEZ..R$.,earn_dec
REM.DEZEMBRO,earn_dec_mw
REM.MED..R$.,mean_earn
REM.MEDIA,mean_earn_mw
SAL.CONTR,hired_wage
SB.CLAS.20,cnae20sub
SEXO,sex
SEXO.TRABALHADOR,sex
TAMANHO.ESTABELECIMENTO,establishment_size
TAMESTAB,establishment_size
TEMP.EMPR,tenure
TEMPO.EMPREGO,tenure
TIPO.ADM,adm_type
TIPO.ADMISSAO,adm_type
TIPO.DEFIC,disability_type
TIPO.ESTAB,firmID_type
TIPO.ESTBL,firmID_type
TIPO.SAL,wage_type
TIPO.SALARIO,wage_type
TIPO.VINCULO,contract_type
TP.DEFIC,disability_type
TP.VINCL,contract_type
TP.VINCULO,contract_type
ULT.REM,last_wage
VINCULO.ATIVO.31.12,active1231
VL.REM.ABRIL.CC,earn_april
VL.REM.AGOSTO.CC,earn_august
VL.REM.FEVEREIRO.CC,earn_feb
VL.REM.JANEIRO.CC,earn_jan
VL.REM.JULHO.CC,earn_july
VL.REM.JUNHO.CC,earn_june
VL.REM.MAIO.CC,earn_may
VL.REM.MARCO.CC,earn_march
VL.REM.NOVEMBRO.CC,earn_nov
VL.REM.OUTUBRO.CC,earn_oct
VL.REM.SETEMBRO.CC,earn_sept
VL.REMUN.DEZEMBRO..SM.,earn_dec_mw
VL.REMUN.DEZEMBRO.NOM,earn_dec
VL.REMUN.MEDIA..SM.,mean_earn_mw
VL.REMUN.MEDIA.NOM,mean_earn
VL.SALARIO.CONTRATUAL,hired_wage
VL.ULTIMA.REMUNERACAO.ANO,last_wage
